#    CONwl      KURwl      CONa      KURa     CONel      CONeu     KURel      KUReu
    145.31     145.31  1.64E+07  5.02E+05       0.0    68817.1       0.0    68817.1
    145.60     145.60  1.92E+07  4.95E+05       0.0    68679.3       0.0    68679.3
    178.39     178.39  3.54E+07  2.90E+05       0.0    56057.9       0.0    56057.9
    179.31     179.31  4.38E+07  2.93E+05       0.0    55769.7       0.0    55769.7
    184.29     184.29  7.16E+06  1.70E+03   14555.9    68817.1   14555.9    68817.1
    184.76     184.76  6.57E+07  1.91E+04   14555.9    68679.3   14555.9    68679.3
    185.25     185.25  7.42E+07  1.90E+04   14836.2    68817.1   14836.2    68817.1
    196.44     196.44  6.85E+07  4.02E+07   23715.2    74621.3   23715.2    74621.3
    199.50     199.50  9.12E+07  4.63E+07   24516.6    74643.1   24516.7    74643.1
    199.58     199.58  1.29E+07  7.69E+06   24516.6    74621.3   24516.7    74621.3
    215.35     215.35  8.47E+08  3.76E+08   14555.9    60991.3   14555.9    60991.3
    216.66     216.66  6.17E+07  2.64E+07   14836.2    60991.3   14836.2    60991.3
    216.67     216.67  9.28E+08  3.96E+08   14836.2    60990.0   14836.2    60990.0
    228.27     228.27  8.55E+07  8.63E+07   23715.2    67522.9   23715.2    67522.9
    232.31     232.31  1.00E+08  9.84E+07   24516.6    67563.1   24516.7    67563.1
    232.52     232.52  1.61E+07  1.63E+07   24516.6    67522.9   24516.7    67522.9
    240.95     240.95  1.14E+05  1.68E+02   14555.9    56057.9   14555.9    56057.9
    242.43     242.43  4.15E+07  3.15E+07   23715.2    64964.1   23715.2    64964.1
    242.59     242.59  1.15E+06  2.81E+03   14836.2    56057.9   14836.2    56057.9
    242.64     242.64  2.03E+06  2.51E+03   14555.9    55769.7   14555.9    55769.7
    247.23     247.23  8.09E+07  5.96E+07   24516.6    64964.1   24516.7    64964.1
    338.17     338.17  2.29E+08  2.56E+08   23715.2    53286.3   23715.2    53286.3
    346.54     346.54  2.62E+08  2.85E+08   24516.6    53373.0   24516.7    53373.0
    347.59     347.59  4.45E+07  4.71E+07   24516.6    53286.3   24516.7    53286.3
    407.89     407.89  2.08E+08  1.39E+08       0.0    24516.6       0.0    24516.7
    416.30     416.30  4.90E+07  9.06E+07   23715.2    47736.5   23715.2    47736.5
    421.67     421.67  1.87E+08  1.26E+08       0.0    23715.2       0.0    23715.2
    430.67     430.67  9.68E+07  1.64E+08   24516.6    47736.5   24516.7    47736.5
    474.37     474.37  7.14E+07  8.93E+05   47736.5    68817.1   47736.5    68817.1
    477.49     477.49  7.40E+07  8.77E+05   47736.5    68679.3   47736.5    68679.3
    530.46     530.46  6.99E+06  1.96E+07   55769.7    74621.3   55769.7    74621.3
    538.06     538.06  1.50E+07  2.26E+07   56057.9    74643.1   56057.9    74643.1
    538.69     538.69  1.24E+06  3.75E+06   56057.9    74621.3   56057.9    74621.3
    643.88     643.88  4.57E+04  3.93E+04   53286.3    68817.1   53286.3    68817.1
    647.49     647.49  1.89E+06  3.49E+05   53373.0    68817.1   53373.0    68817.1
    649.64     649.64  2.12E+05  3.83E+05   53286.3    68679.3   53286.3    68679.3
    732.44     732.44  3.68E+04  1.81E+06   60990.0    74643.1   60990.0    74643.1
    732.51     732.51  1.83E+03  9.04E+04   60991.3    74643.1   60991.3    74643.1
    733.68     733.68  7.69E+03  1.89E+06   60991.3    74621.3   60991.3    74621.3
    850.83     850.83  4.72E+07  4.29E+07   55769.7    67522.9   55769.7    67522.9
    869.17     869.17  5.17E+07  4.83E+07   56057.9    67563.1   56057.9    67563.1
    872.22     872.22  9.31E+06  7.96E+06   56057.9    67522.9   56057.9    67522.9
   1003.94    1003.94  1.54E+06  1.07E+06   14555.9    24516.6   14555.9    24516.7
   1033.02    1033.01  1.31E+07  8.85E+06   14836.2    24516.6   14836.2    24516.7
   1087.62    1087.62  1.23E+07  1.99E+07   55769.7    64964.1   55769.7    64964.1
   1091.79    1091.79  1.20E+07  8.33E+06   14555.9    23715.2   14555.9    23715.2
   1122.81    1122.81  2.42E+07  3.61E+07   56057.9    64964.1   56057.9    64964.1
   1201.73    1201.73  2.96E+07  2.55E+07   47736.5    56057.9   47736.5    56057.9
   1244.84    1244.84  2.66E+07  2.30E+07   47736.5    55769.7   47736.5    55769.7
   1297.85    1297.85  1.56E+07  2.44E+07   53286.3    60991.3   53286.3    60991.3
   1312.62    1312.62  1.07E+06  1.68E+06   53373.0    60991.3   53373.0    60991.3
   1312.84    1312.84  1.60E+07  2.52E+07   53373.0    60990.0   53373.0    60990.0
   1521.35    1521.35  1.79E+05  4.90E+06   60990.0    67563.1   60990.0    67563.1
   1521.65    1521.65  9.00E+03  2.45E+05   60991.3    67563.1   60991.3    67563.1
   1531.03    1531.03  2.21E+05  5.05E+06   60991.3    67522.9   60991.3    67522.9
   1682.95    1682.95  7.73E+06  1.17E+07   68679.3    74621.3   68679.3    74621.3
   1716.45    1716.45  9.99E+06  1.32E+07   68817.1    74643.1   68817.1    74643.1
   1722.90    1722.90  1.46E+06  2.18E+06   68817.1    74621.3   68817.1    74621.3
   2595.37    2595.37  4.93E+06  6.83E+06   64964.1    68817.1   64964.1    68817.1
   2691.61    2691.62  4.51E+06  6.12E+06   64964.1    68679.3   64964.1    68679.3
